MethodFullyQualifiedName,ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalChurn,MaxChurn,AvgChurn,NFix,IsBuggy
"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java/removeMessageFromCache(CacheKey, Exception, boolean, boolean)",1,17,4,4,1,0,1,1,1,17,17,17,17.0000,0,yes
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java/collectOldCacheEntries(),1,25,0,3,3,0,5,1,1,25,25,25,25.0000,0,yes
"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java/messageScanned(Object, Message)",1,0,2,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java/scanFinished(Object, ReasonForFinish)",1,0,2,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java/scanFailed(Object, Exception)",1,0,2,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java/getScanCallback(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java/getCtx(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java/getTopic(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java/getStartSeqId(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java/getCallback(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java/getCtx(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/operationFailed(Object, PubSubException)",1,0,2,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/operationFinished(Object, Void)",1,0,2,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/channelDisconnected(Channel),1,8,1,2,1,0,2,1,1,8,8,8,8.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/subscribeSucceeded(TopicSubscriber, Channel)",1,17,2,3,1,0,2,1,1,17,17,17,17.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/aboutToUnsubscribe(ByteString, ByteString)",1,8,2,2,2,0,3,1,1,8,8,8,8.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/checkChannelMatches(ByteString, ByteString, Channel)",1,9,3,2,1,0,1,1,1,9,9,9,9.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java/getChannel(ByteString, ByteString)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/uncaughtException(Thread, Throwable)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/run(),1,6,0,0,0,0,0,1,1,6,6,6,6.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/initializeHandlers(),1,8,0,0,0,0,1,1,1,8,8,8,8.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/initializeNetty(),1,12,0,0,0,0,3,1,1,12,12,12,12.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/shutdown(),1,3,0,0,0,0,0,2,2,3,3,3,1.5000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/getStartDeliveryHandler(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java/main(String[]),1,20,1,4,3,0,4,1,1,20,20,20,20.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java/getProxyPort(),1,1,0,0,0,1,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java/getMaximumMessageSize(),1,1,0,0,0,1,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java/handleRequest(PubSubRequest, Channel)",1,12,2,2,2,0,1,1,1,12,12,12,12.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java/handleRequest(PubSubRequest, Channel)",1,17,2,1,1,0,1,1,1,17,17,17,17.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java/operationFailed(Object, PubSubException)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java/operationFinished(Object, Void)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java/handleRequest(PubSubRequest, Channel)",1,69,2,4,2,1,6,3,2,69,69,69,23.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java/deliver(ByteString, ByteString, Message, Callback, Object)",1,20,5,1,1,0,2,1,1,20,20,20,20.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java/operationComplete(ChannelFuture),1,8,1,1,1,0,0,1,1,8,8,8,8.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java/handleRequest(PubSubRequest, Channel)",1,24,2,3,2,0,2,1,1,24,24,24,24.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java/channelDisconnected(Channel),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java/handleRequest(PubSubRequest, Channel)",1,25,2,2,2,0,2,1,1,25,25,25,25.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java/operationFailed(Object, PubSubException)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java/operationFinished(Object, Void)",1,7,2,1,2,0,0,1,1,7,7,7,7.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java/handleRequest(PubSubRequest, Channel)",1,26,2,1,1,0,2,1,1,26,26,26,26.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java/operationFailed(Object, PubSubException)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java/operationFinished(Object, Void)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/create(HedwigSocketAddress),1,11,1,0,0,0,0,1,1,11,11,11,11.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/getDefaultServerHedwigSocketAddress(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/isSSLEnabled(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java/subscribe(ByteString, ByteString, CreateOrAttach)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java/asyncSubscribe(ByteString, ByteString, CreateOrAttach, Callback, Object)",1,1,5,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java/unsubscribe(ByteString, ByteString)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java/asyncUnsubscribe(ByteString, ByteString, Callback, Object)",1,1,4,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/onFirstLocalSubscribe(ByteString, boolean, Callback)",1,73,3,11,4,2,4,3,2,73,73,72,24.3333,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/run(),1,68,0,11,4,2,4,1,1,4,4,4,4.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/operationFinished(Object, Void)",1,46,2,7,3,0,0,1,1,2,2,2,2.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/deliver(ByteString, ByteString, Message, Callback, Object)",1,24,5,3,1,0,0,1,1,24,24,24,24.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/operationFinished(Object, Long)",1,4,2,1,1,0,0,1,1,4,4,4,4.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/operationFailed(Object, PubSubException)",1,4,2,1,1,0,0,1,1,2,2,2,2.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/onLastLocalUnsubscribe(ByteString),1,23,1,3,1,0,2,1,1,23,23,23,23.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java/stop(),1,3,0,1,1,0,1,2,2,3,3,3,1.5000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java/isClient(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/run(),1,27,0,5,3,0,5,1,1,25,25,25,25.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/operationFailed(Object, PubSubException)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/operationFinished(Object, Map)",1,27,2,3,2,0,3,1,1,27,27,27,27.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/operationFinished(Object, Void)",1,3,2,0,0,0,0,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/notifySubscribe(ByteString, boolean, Callback, Object)",1,4,4,1,1,0,2,1,1,4,4,4,4.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/acquiredTopic(ByteString, Callback, Object)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/lostTopic(ByteString),1,4,1,1,1,0,1,2,1,4,4,3,2.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/notifyUnsubcribe(ByteString),1,2,1,1,1,0,1,1,1,2,2,2,2.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/readSubscriptions(ByteString, Callback, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/serveSubscribeRequest(ByteString, SubscribeRequest, MessageSeqId, Callback, Object)",1,1,5,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/setConsumeSeqIdForSubscriber(ByteString, ByteString, MessageSeqId, Callback, Object)",1,1,5,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/unsubscribe(ByteString, ByteString, Callback, Object)",1,1,4,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/addListener(SubscriptionEventListener),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/stop(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/createSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",1,0,5,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/updateSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",1,0,5,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java/deleteSubscriptionState(ByteString, ByteString, Callback, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java/testMessage(Message),1,5,1,1,1,0,0,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java/createSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",1,1,5,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java/deleteSubscriptionState(ByteString, ByteString, Callback, Object)",1,1,4,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java/updateSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",1,1,5,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java/lostTopic(ByteString),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java/readSubscriptions(ByteString, Callback, Object)",1,6,3,1,1,0,1,1,1,6,6,6,6.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java/getSubscriptionState(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java/getLastConsumeSeqId(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java/setLastConsumeSeqId(MessageSeqId, int)",1,6,2,1,1,0,0,1,1,6,6,6,6.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java/testMessage(Message),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java/onFirstLocalSubscribe(ByteString, boolean, Callback)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java/onLastLocalUnsubscribe(ByteString),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java/serveSubscribeRequest(ByteString, SubscribeRequest, MessageSeqId, Callback, Object)",1,0,5,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java/setConsumeSeqIdForSubscriber(ByteString, ByteString, MessageSeqId, Callback, Object)",1,0,5,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java/unsubscribe(ByteString, ByteString, Callback, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java/addListener(SubscriptionEventListener),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java/instance(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java/testMessage(Message),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/topicSubscribersPath(StringBuilder, ByteString)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/topicSubscriberPath(ByteString, ByteString)",1,2,2,0,0,0,0,1,1,2,2,2,2.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/readSubscriptions(ByteString, Callback, Object)",1,79,3,10,3,2,11,1,1,79,79,79,79.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object, List)",1,68,4,10,3,2,10,1,1,68,68,68,68.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object, byte[], Stat)",1,30,5,5,2,0,3,1,1,30,30,30,30.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/reportFailure(PubSubException),1,2,1,1,1,0,0,1,1,2,2,2,2.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/createSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",1,20,5,2,2,0,1,1,1,20,20,20,20.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object, String)",1,13,4,2,2,0,1,1,1,13,13,13,13.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/updateSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",1,21,5,2,2,0,1,1,1,21,21,21,21.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object, Stat)",1,15,4,2,2,0,1,1,1,15,15,15,15.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/deleteSubscriptionState(ByteString, ByteString, Callback, Object)",1,18,4,2,2,0,1,1,1,18,18,18,18.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object)",1,12,3,2,2,0,1,1,1,12,12,12,12.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/run(),1,1,0,0,0,0,0,1,1,14,14,14,14.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/addTopicOwnershipChangeListener(TopicOwnershipChangeListener),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/notifyListenersAndAddToOwnedTopics(ByteString, Callback, Object)",1,51,3,2,1,1,4,2,2,51,51,42,25.5000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/operationFinished(Object, Void)",1,25,2,1,1,0,0,2,2,1,1,1,0.5000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/operationFailed(Object, PubSubException)",1,2,2,0,0,0,0,2,2,2,2,2,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/realReleaseTopic(ByteString, Callback, Object)",1,4,3,1,1,0,1,1,1,4,4,4,4.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/getOwner(ByteString, boolean, Callback, Object)",1,1,4,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/releaseTopic(ByteString, Callback, Object)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/realGetOwner(ByteString, boolean, Callback, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/postReleaseCleanup(ByteString, Callback, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java/getOwner(ByteString, boolean, Callback, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java/addTopicOwnershipChangeListener(TopicOwnershipChangeListener),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java/releaseTopic(ByteString, Callback, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java/acquiredTopic(ByteString, Callback, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java/lostTopic(ByteString),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java/realGetOwner(ByteString, boolean, Callback, Object)",1,5,4,1,1,0,0,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java/postReleaseCleanup(ByteString, Callback, Object)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/safeProcessResult(int, String, Object, Stat)",1,3,4,1,1,0,0,1,1,3,3,3,3.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/process(WatchedEvent),1,15,1,5,4,0,0,1,1,15,15,15,15.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/operationFailed(Object, PubSubException)",1,2,2,0,0,0,0,1,1,2,2,2,2.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/operationFinished(Object, Void)",1,2,2,0,0,0,0,1,1,2,2,2,2.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/registerWithZookeeper(Callback, Object)",1,36,2,3,1,0,2,1,1,36,36,36,36.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/safeProcessResult(int, String, Object, String)",1,25,4,3,1,0,2,1,1,14,14,14,14.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/safeProcessResult(int, String, Object)",1,8,3,1,1,0,1,1,1,8,8,8,8.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/hubPath(ByteString),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/realGetOwner(ByteString, boolean, Callback, Object)",1,10,4,2,1,0,0,1,1,10,10,10,10.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/choose(),1,13,0,1,1,0,2,1,1,13,13,13,13.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/safeProcessResult(int, String, Object, List)",1,7,4,1,1,0,1,1,1,7,7,7,7.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/chooseLeastLoadedNode(List),1,47,1,8,3,0,7,1,1,47,47,47,47.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/safeProcessResult(int, String, Object, byte[], Stat)",1,33,5,7,3,0,2,1,1,35,35,35,35.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/claimOrChoose(),1,4,0,1,1,0,0,1,1,4,4,4,4.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/read(),1,46,0,5,2,0,3,1,1,46,46,46,46.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/processResult(int, String, Object)",1,7,3,1,1,0,1,1,1,7,7,7,7.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/claim(),1,24,0,4,2,0,1,1,1,24,24,24,24.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/getCurrentLoadData(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/updateLoadInformation(),1,5,0,1,1,0,1,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java/postReleaseCleanup(ByteString, Callback, Object)",1,43,3,4,1,0,3,1,1,43,43,43,43.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java/openComplete(int, LedgerHandle, Object)",1,5,3,1,2,0,0,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java/safeOpenComplete(int, LedgerHandle, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java/closeComplete(int, LedgerHandle, Object)",1,5,3,1,2,0,0,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java/safeCloseComplete(int, LedgerHandle, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java/readComplete(int, LedgerHandle, Enumeration, Object)",1,5,4,1,2,0,0,1,1,5,5,5,5.0000,0,no
"hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java/safeReadComplete(int, LedgerHandle, Enumeration, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
